Title;Play time;Rating;Release Year
Um Sonho de Liberdade;2h 22m;9,3;1994
O Poderoso Chefão;2h 55m;9,2;1972
Batman - O Cavaleiro das Trevas;2h 32m;9;2008
O Poderoso Chefão II;3h 22m;9;1974
12 Homens e uma Sentença;1h 36m;9;1957
A Lista de Schindler;3h 15m;9;1993
O Senhor dos Anéis: O Retorno do Rei;3h 21m;9;2003
Pulp Fiction - Tempo de Violência;2h 34m;8,9;1994
O Senhor dos Anéis: A Sociedade do Anel;2h 58m;8,9;2001
Três Homens em Conflito;2h 41m;8,8;1966
Forrest Gump: O Contador de Histórias;2h 22m;8,8;1994
O Senhor dos Anéis: As Duas Torres;2h 59m;8,8;2002
Clube da Luta;2h 19m;8,8;1999
A Origem;2h 28m;8,8;2010
Star Wars: Episódio V - O Império Contra-Ataca;2h 4m;8,7;1980
Matrix;2h 16m;8,7;1999
Os Bons Companheiros;2h 25m;8,7;1990
Um Estranho no Ninho;2h 13m;8,7;1975
Seven: Os Sete Crimes Capitais;2h 7m;8,6;1995
A Felicidade Não se Compra;2h 10m;8,6;1946
Interestelar;2h 49m;8,7;2014
Os Sete Samurais;3h 27m;8,6;1954
O Silêncio dos Inocentes;1h 58m;8,6;1991
O Resgate do Soldado Ryan;2h 49m;8,6;1998
Cidade de Deus;2h 10m;8,6;2002
A Vida é Bela;1h 56m;8,6;1997
À Espera de um Milagre;3h 9m;8,6;1999
O Exterminador do Futuro 2: O Julgamento Final;2h 17m;8,6;1991
Star Wars: Episódio IV - Uma Nova Esperança;2h 1m;8,6;1977
De Volta para o Futuro;1h 56m;8,5;1985
A Viagem de Chihiro;2h 5m;8,6;2001
Homem-Aranha: Através do Aranhaverso;2h 20m;8,6;2023
O Pianista;2h 30m;8,5;2002
Parasita;2h 12m;8,5;2019
Psicose;1h 49m;8,5;1960
Gladiador;2h 35m;8,5;2000
O Rei Leão;1h 28m;8,5;1994
O Profissional;1h 50m;8,5;1994
Os Infiltrados;2h 31m;8,5;2006
A Outra História Americana;1h 59m;8,5;1998
Whiplash: Em Busca da Perfeição;1h 46m;8,5;2014
O Grande Truque;2h 10m;8,5;2006
Túmulo dos Vagalumes;1h 29m;8,5;1988
Harakiri;2h 13m;8,6;1962
Os Suspeitos;1h 46m;8,5;1995
Casablanca;1h 42m;8,5;1942
Intocáveis;1h 52m;8,5;2011
Tempos Modernos;1h 27m;8,5;1936
Cinema Paradiso;2h 54m;8,5;1988
12th Fail;2h 27m;9,1;2023
Janela Indiscreta;1h 52m;8,5;1954
Era uma Vez no Oeste;2h 46m;8,5;1968
Alien - O 8º Passageiro;1h 57m;8,5;1979
Luzes da Cidade;1h 27m;8,5;1931
Apocalypse Now;2h 27m;8,4;1979
Django Livre;2h 45m;8,5;2012
Amnésia;1h 53m;8,4;2000
WALL·E;1h 38m;8,4;2008
Os Caçadores da Arca Perdida;1h 55m;8,4;1981
A Vida dos Outros;2h 17m;8,4;2006
Crepúsculo dos Deuses;1h 50m;8,4;1950
Glória Feita de Sangue;1h 28m;8,4;1957
Vingadores: Guerra Infinita;2h 29m;8,4;2018
Homem-Aranha: No Aranhaverso;1h 57m;8,4;2018
O Iluminado;2h 26m;8,4;1980
Testemunha de Acusação;1h 56m;8,4;1957
O Grande Ditador;2h 5m;8,4;1940
Aliens, O Resgate;2h 17m;8,4;1986
Bastardos Inglórios;2h 33m;8,4;2009
Batman - O Cavaleiro das Trevas Ressurge;2h 44m;8,4;2012
Dr. Fantástico;1h 35m;8,4;1964
Beleza Americana;2h 2m;8,3;1999
Oldboy;2h;8,3;2003
Viva - A Vida é uma Festa;1h 45m;8,4;2017
Amadeus;2h 40m;8,4;1984
Toy Story;1h 21m;8,3;1995
O Barco: Inferno no Mar;2h 29m;8,4;1981
Coração Valente;2h 58m;8,3;1995
Vingadores: Ultimato;3h 1m;8,4;2019
Coringa;2h 2m;8,4;2019
Princesa Mononoke;2h 14m;8,3;1997
Oppenheimer;3h;8,4;2023
Gênio Indomável;2h 6m;8,3;1997
Your Name.;1h 46m;8,4;2016
Era uma Vez na América;3h 49m;8,3;1984
Céu e Inferno;2h 23m;8,4;1963
3 Idiotas;2h 50m;8,4;2009
Cantando na Chuva;1h 43m;8,3;1952
Cafarnaum;2h 6m;8,4;2018
Réquiem para um Sonho;1h 42m;8,3;2000
Vá e Veja;2h 22m;8,4;1985
Toy Story 3;1h 43m;8,3;2010
Star Wars, Episódio VI: O Retorno do Jedi;2h 11m;8,3;1983
Pobres Criaturas;2h 21m;8,4;2023
Brilho Eterno de uma Mente sem Lembranças;1h 48m;8,3;2004
A Caça;1h 55m;8,3;2012
2001: Uma Odisséia no Espaço;2h 29m;8,3;1968
Cães de Aluguel;1h 39m;8,3;1992
Viver;2h 23m;8,3;1952
Lawrence da Arábia;3h 38m;8,3;1962
Se Meu Apartamento Falasse;2h 5m;8,3;1960
Cidadão Kane;1h 59m;8,3;1941
Intriga Internacional;2h 16m;8,3;1959
M, o Vampiro de Dusseldorf;1h 57m;8,3;1931
Um Corpo que Cai;2h 8m;8,3;1958
Pacto de Sangue;1h 47m;8,3;1944
Scarface;2h 50m;8,3;1983
Incêndios;2h 11m;8,3;2010
O Fabuloso Destino de Amélie Poulain;2h 2m;8,3;2001
Nascido para Matar;1h 56m;8,3;1987
Laranja Mecânica;2h 16m;8,3;1971
Fogo Contra Fogo;2h 50m;8,3;1995
Up - Altas Aventuras;1h 36m;8,3;2009
O Sol é para Todos;2h 9m;8,3;1962
Golpe de Mestre;2h 9m;8,3;1973
A Separação;2h 3m;8,3;2011
Indiana Jones e a Última Cruzada;2h 7m;8,2;1989
Duro de Matar;2h 12m;8,2;1988
Hamilton;2h 40m;8,3;2020
Metrópolis;2h 33m;8,3;1927
Como Estrelas na Terra;2h 42m;8,3;2007
Snatch - Porcos e Diamantes;1h 44m;8,2;2000
Ladrões de Bicicletas;1h 29m;8,3;1948
Los Angeles: Cidade Proibida;2h 18m;8,2;1997
1917;1h 59m;8,2;2019
Taxi Driver: Motorista de Táxi;1h 54m;8,2;1976
A Queda! As Últimas Horas de Hitler;2h 36m;8,2;2004
Dangal;2h 41m;8,3;2016
Por uns Dólares a Mais;2h 12m;8,2;1965
Batman Begins;2h 20m;8,2;2005
Quanto Mais Quente Melhor;2h 1m;8,2;1959
O Lobo de Wall Street;3h;8,2;2013
O Garoto;1h 8m;8,2;1921
Green Book: O Guia;2h 10m;8,2;2018
Meu Pai;1h 37m;8,2;2020
Top Gun: Maverick;2h 10m;8,3;2022
Julgamento em Nuremberg;2h 59m;8,3;1961
A Malvada;2h 18m;8,2;1950
O Show de Truman: O Show da Vida;1h 43m;8,2;1998
Sangue Negro;2h 38m;8,2;2007
Ilha do Medo;2h 18m;8,2;2010
Cassino;2h 58m;8,2;1995
Ran;2h 40m;8,2;1985
Jurassic Park - O Parque dos Dinossauros;2h 7m;8,2;1993
O Sexto Sentido;1h 47m;8,2;1999
O Labirinto do Fauno;1h 58m;8,2;2006
Os Imperdoáveis;2h 10m;8,2;1992
Uma Mente Brilhante;2h 15m;8,2;2001
Onde os Fracos Não Têm Vez;2h 2m;8,2;2007
O Tesouro da Sierra Madre;2h 6m;8,2;1948
O Enigma de Outro Mundo;1h 49m;8,2;1982
Yojimbo, o Guarda-Costas;1h 50m;8,2;1961
Kill Bill: Volume 1;1h 51m;8,2;2003
Monty Python em Busca do Cálice Sagrado;1h 31m;8,2;1975
Fugindo do Inferno;2h 52m;8,2;1963
Procurando Nemo;1h 40m;8,2;2003
Rashomon;1h 28m;8,2;1950
O Homem Elefante;2h 4m;8,2;1980
O Castelo Animado;1h 59m;8,2;2004
Chinatown;2h 10m;8,1;1974
Os Suspeitos;2h 33m;8,1;2013
Disque M para Matar;1h 45m;8,2;1954
...E o Vento Levou;3h 58m;8,2;1939
V de Vingança;2h 12m;8,2;2005
Jogos, Trapaças e Dois Canos Fumegantes;1h 47m;8,1;1998
O Segredo dos Seus Olhos;2h 9m;8,2;2009
Touro Indomável;2h 9m;8,1;1980
Divertida Mente;1h 35m;8,1;2015
Três Anúncios para um Crime;1h 55m;8,1;2017
Trainspotting: Sem Limites;1h 33m;8,1;1996
A Ponte do Rio Kwai;2h 41m;8,1;1957
Homem-Aranha: Sem Volta para Casa;2h 28m;8,2;2021
Fargo - Uma Comédia de Erros;1h 38m;8,1;1996
Godzilla Minus One;2h 4m;8,3;2023
Guerreiro;2h 20m;8,1;2011
Klaus;1h 36m;8,2;2019
Prenda-me se for Capaz;2h 21m;8,1;2002
Gran Torino;1h 56m;8,1;2008
Meu Amigo Totoro;1h 26m;8,1;1988
Menina de Ouro;2h 12m;8,1;2004
Harry Potter e as Relíquias da Morte - Parte 2;2h 10m;8,1;2011
Filhos do Paraíso;1h 29m;8,2;1997
12 Anos de Escravidão;2h 14m;8,1;2013
Blade Runner: O Caçador de Androides;1h 57m;8,1;1982
Antes do Amanhecer;1h 41m;8,1;1995
O Grande Hotel Budapeste;1h 39m;8,1;2014
Ben-Hur;3h 32m;8,1;1959
Barry Lyndon;3h 5m;8,1;1975
Garota Exemplar;2h 29m;8,1;2014
Em Busca do Ouro;1h 35m;8,1;1925
Até o Último Homem;2h 19m;8,1;2016
Em Nome do Pai;2h 13m;8,1;1993
Memórias de um Assassino;2h 11m;8,1;2003
Sindicato de Ladrões;1h 48m;8,1;1954
A General;1h 18m;8,1;1926
Sociedade dos Poetas Mortos;2h 8m;8,1;1989
O Franco Atirador;3h 3m;8,1;1978
Relatos Selvagens;2h 2m;8,1;2014
Mad Max: Estrada da Fúria;2h;8,1;2015
Bancando o Águia;45m;8,2;1924
Morangos Silvestres;1h 31m;8,1;1957
Monstros S.A.;1h 32m;8,1;2001
O 3º Homem;1h 44m;8,1;1949
O Salário do Medo;2h 11m;8,2;1953
Tubarão;2h 4m;8,1;1975
Como Treinar o Seu Dragão;1h 38m;8,1;2010
Mary e Max - Uma Amizade Diferente;1h 32m;8,1;2009
A Mulher Faz o Homem;2h 9m;8,1;1939
Ford vs Ferrari;2h 32m;8,1;2019
Ratatouille;1h 51m;8,1;2007
O Sétimo Selo;1h 36m;8,1;1957
O Quarto de Jack;1h 58m;8,1;2015
O Grande Lebowski;1h 57m;8,1;1998
Era uma Vez em Tóquio;2h 16m;8,1;1953
Rocky - Um Lutador;2h;8,1;1976
Hotel Ruanda;2h 1m;8,1;2004
Logan;2h 17m;8,1;2017
Spotlight - Segredos Revelados;2h 9m;8,1;2015
Platoon;2h;8,1;1986
O Exterminador do Futuro;1h 47m;8,1;1984
O Martírio de Joana D'Arc;1h 50m;8,1;1928
Jai Bhim;2h 44m;8,7;2021
Antes do Pôr do Sol;1h 20m;8,1;2004
Os Melhores Anos de Nossa Vida;2h 50m;8,1;1946
O Ódio;1h 38m;8,1;1995
Rush: No Limite da Emoção;2h 3m;8,1;2013
O Exorcista;2h 2m;8,1;1973
Rede de Intrigas;2h 1m;8,1;1976
Piratas do Caribe: A Maldição do Pérola Negra;2h 23m;8,1;2003
Conta Comigo;1h 29m;8,1;1986
O Mágico de Oz;1h 42m;8,1;1939
Os Incríveis;1h 55m;8;2004
Na Natureza Selvagem;2h 28m;8,1;2007
Sempre ao Seu Lado;1h 33m;8,1;2009
A Criada;2h 25m;8,1;2016
Meu Pai e Meu Filho;1h 52m;8,2;2005
Ser ou Não Ser;1h 39m;8,1;1942
As Vinhas da Ira;2h 9m;8,1;1940
A Batalha de Argel;2h 1m;8,1;1966
Feitiço do Tempo;1h 41m;8;1993
A Noviça Rebelde;2h 52m;8,1;1965
Amores Brutos;2h 34m;8,1;2000
Rebecca, a Mulher Inesquecível;2h 10m;8,1;1940
Rebeldia Indomável;2h 7m;8,1;1967
O Gigante de Ferro;1h 26m;8,1;1999
Histórias Cruzadas;2h 26m;8,1;2011
Aconteceu Naquela Noite;1h 45m;8,1;1934
Os Incompreendidos;1h 39m;8,1;1959
Gangues de Wasseypur;5h 21m;8,2;2012
Aladdin;1h 30m;8;1992
;;;
